,Finish,Country,Team_Name,Team_FIVB_ID,FIVB_ID,BVB_ID,FIVB_Name,TourniStartDate,TourniEndDate,TournLocation,TypeOfEvent,TournID,gender,isBlack_Challenge,isBlack_Elite16
123,2,Ukraine,Sergiy Popov / Eduard Reznik,120578 / 141524,141524,14271,Eduard Reznik,2022-10-22,2022-10-25,"Dubai, United Arab Emirates",Challenge,4127,M,True,False
124,3,Brazil,Pedro Solberg / Arthur Diego Mariano Lanci,104073 / 145393,104073,6767,Pedro Solberg,2022-10-22,2022-10-25,"Dubai, United Arab Emirates",Challenge,4127,M,True,False
125,3,Brazil,Pedro Solberg / Arthur Diego Mariano Lanci,104073 / 145393,145393,15323,Arthur Diego Mariano Lanci,2022-10-22,2022-10-25,"Dubai, United Arab Emirates",Challenge,4127,M,True,False
126,1,Sweden,David Ahman / Jonatan Hellvig,160555 / 166274,160555,17928,David Ahman,2022-10-27,2022-10-30,"Dubai, United Arab Emirates",Challenge,4129,M,True,False
127,1,Sweden,David Ahman / Jonatan Hellvig,160555 / 166274,166274,18278,Jonatan Hellvig,2022-10-27,2022-10-30,"Dubai, United Arab Emirates",Challenge,4129,M,True,False
128,2,Argentina,Nicolas Capogrosso / Tomas Capogrosso,145990 / 174855,145990,15252,Nicolas Capogrosso,2022-10-27,2022-10-30,"Dubai, United Arab Emirates",Challenge,4129,M,True,False
129,2,Argentina,Nicolas Capogrosso / Tomas Capogrosso,145990 / 174855,174855,20605,Tomas Capogrosso,2022-10-27,2022-10-30,"Dubai, United Arab Emirates",Challenge,4129,M,True,False
130,3,United States,Paul Lotman / Taylor Crabb,116065 / 124881,116065,17443,Paul Lotman,2022-10-27,2022-10-30,"Dubai, United Arab Emirates",Challenge,4129,M,True,False
131,3,United States,Paul Lotman / Taylor Crabb,116065 / 124881,124881,13454,Taylor Crabb,2022-10-27,2022-10-30,"Dubai, United Arab Emirates",Challenge,4129,M,True,False
132,1,Italy,Daniele Lupo / Enrico Rossi,120774 / 144114,120774,9422,Daniele Lupo,2022-11-23,2022-11-27,"Torquay, Australia",Challenge,3979,M,True,False
133,1,Italy,Daniele Lupo / Enrico Rossi,120774 / 144114,144114,14706,Enrico Rossi,2022-11-23,2022-11-27,"Torquay, Australia",Challenge,3979,M,True,False
134,2,Italy,Alex Ranghieri / Adrian Ignacio Carambula Raurich,132141 / 150379,132141,11262,Alex Ranghieri,2022-11-23,2022-11-27,"Torquay, Australia",Challenge,3979,M,True,False
135,2,Italy,Alex Ranghieri / Adrian Ignacio Carambula Raurich,132141 / 150379,150379,8338,Adrian Ignacio Carambula Raurich,2022-11-23,2022-11-27,"Torquay, Australia",Challenge,3979,M,True,False
136,3,Australia,Christopher Mchugh / Paul Burnett,118115 / 155747,118115,8410,Christopher Mchugh,2022-11-23,2022-11-27,"Torquay, Australia",Challenge,3979,M,True,False
137,3,Australia,Christopher Mchugh / Paul Burnett,118115 / 155747,155747,16902,Paul Burnett,2022-11-23,2022-11-27,"Torquay, Australia",Challenge,3979,M,True,False
138,1,Brazil,George Souto Maior Wanderley / Andre Loyola Stein,142889 / 147009,142889,14454,George Souto Maior Wanderley,2023-03-06,2023-03-09,"Itapema, Brazil",Challenge,4168,M,True,False
139,1,Brazil,George Souto Maior Wanderley / Andre Loyola Stein,142889 / 147009,147009,15355,Andre Loyola Stein,2023-03-06,2023-03-09,"Itapema, Brazil",Challenge,4168,M,True,False
140,2,France,Youssef Krou / Arnaud Gauthier-Rat,119795 / 146455,119795,15029,Youssef Krou,2023-03-06,2023-03-09,"Itapema, Brazil",Challenge,4168,M,True,False
141,2,France,Youssef Krou / Arnaud Gauthier-Rat,119795 / 146455,146455,15475,Arnaud Gauthier-Rat,2023-03-06,2023-03-09,"Itapema, Brazil",Challenge,4168,M,True,False
142,3,Norway,Hendrik Nikolai Mol / Mathias Berntsen,137129 / 143189,137129,13275,Hendrik Nikolai Mol,2023-03-06,2023-03-09,"Itapema, Brazil",Challenge,4168,M,True,False
